Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Avon and Somerset Constabulary,Avon-and-Somerset,11,2021,22487,5.6,4,20946,93.1,1430,6.4,111,0.5
Bedfordshire Police,Bedfordshire,11,2021,9263,19.7,4,6272,67.7,2150,23.2,841,9.1
Cambridgeshire Constabulary,Cambridgeshire,11,2021,10969,13,8,7613,69.4,3069,28,287,2.6
Cheshire Constabulary,Cheshire,11,2021,11894,21.8,7,8354,70.2,2414,20.3,1126,9.5
Cleveland Police,Cleveland,11,2021,8413,9.3,5,6532,77.6,1777,21.1,104,1.2
Cumbria Constabulary,Cumbria,11,2021,5394,13.3,7,4336,80.4,863,16,195,3.6
Derbyshire Constabulary,Derbyshire,11,2021,13064,11.5,9,6991,53.5,5998,45.9,75,0.6
Devon & Cornwall Police,Devon-and-Cornwall,11,2021,19521,17.3,7,14334,73.4,4006,20.5,1181,6
Dorset Police,Dorset,11,2021,8973,14.6,8,5746,64,2911,32.4,316,3.5
Durham Constabulary,Durham,11,2021,7464,24.5,10,2685,36,3998,53.6,781,10.5
Dyfed-Powys Police,Dyfed-Powys,11,2021,4285,11.9,4,3377,78.8,735,17.2,173,4
Essex Police,Essex,11,2021,22614,12.1,6,17786,78.7,4095,18.1,733,3.2
Gloucestershire Constabulary,Gloucestershire,11,2021,6550,22.3,9,3332,50.9,2693,41.1,525,8
Greater Manchester Police,Greater-Manchester,11,2021,46134,20.5,7,33586,72.8,8453,18.3,4095,8.9
Gwent Police,Gwent,11,2021,6351,13.9,5,5226,82.3,798,12.6,327,5.1
Hampshire Constabulary,Hampshire,11,2021,20082,11.1,8,14836,73.9,4902,24.4,344,1.7
Hertfordshire Constabulary,Hertfordshire,11,2021,12397,14,8,9207,74.3,2749,22.2,441,3.6
Humberside Police,Humberside,11,2021,10629,16.6,12,158,1.5,10118,95.2,353,3.3
Kent Police,Kent,11,2021,23779,17.1,5,16049,67.5,6051,25.4,1679,7.1
Lancashire Constabulary,Lancashire,11,2021,21872,14.2,9,12712,58.1,8700,39.8,460,2.1
Leicestershire Police,Leicestershire,11,2021,13252,7.9,4,11894,89.8,1040,7.8,318,2.4
Lincolnshire Police,Lincolnshire,11,2021,7319,7.6,3,6252,85.4,934,12.8,133,1.8
Merseyside Police,Merseyside,11,2021,22050,10.2,4,18371,83.3,3003,13.6,676,3.1
Metropolitan Police Service,Metropolitan,11,2021,158154,17.9,7,110561,69.9,37059,23.4,10534,6.7
Norfolk Constabulary,Norfolk,11,2021,8720,8.8,5,7221,82.8,1385,15.9,114,1.3
North Wales Police,North-Wales,11,2021,7570,9.7,5,5774,76.3,1659,21.9,137,1.8
North Yorkshire Police,North-Yorkshire,11,2021,7783,27,14,3434,44.1,3404,43.7,945,12.1
Northamptonshire Police,Northamptonshire,11,2021,9415,6.4,4,8196,87.1,1192,12.7,27,0.3
Northumbria Police,Northumbria,11,2021,21684,43.9,10,10611,48.9,6555,30.2,4518,20.8
Nottinghamshire Police,Nottinghamshire,11,2021,14652,8.1,5,12959,88.4,1534,10.5,159,1.1
Police Scotland,Scotland,11,2021,51403,8.9,6,44735,87,6012,11.7,656,1.3
Police Service of Northern Ireland,Northern-Ireland,11,2021,14515,10.4,7,10926,75.3,3381,23.3,208,1.4
South Wales Police,South-Wales,11,2021,16793,13.6,4,12816,76.3,2958,17.6,1019,6.1
South Yorkshire Police,South-Yorkshire,11,2021,22196,21.6,12,3552,16,16981,76.5,1663,7.5
Staffordshire Police,Staffordshire,11,2021,14124,29.2,5,10831,76.7,1601,11.3,1692,12
Suffolk Constabulary,Suffolk,11,2021,8367,19.6,5,6669,79.7,1037,12.4,661,7.9
Surrey Police,Surrey,11,2021,11451,8.9,6,9472,82.7,1895,16.5,84,0.7
Sussex Police,Sussex,11,2021,19265,10.4,8,15306,79.4,3787,19.7,172,0.9
Thames Valley Police,Thames-Valley,11,2021,26495,12.3,6,21192,80,4430,16.7,873,3.3
Warwickshire Police,Warwickshire,11,2021,6831,7.3,3,5542,81.1,1220,17.9,69,1
West Mercia Police,West-Mercia,11,2021,12108,11.7,8,9267,76.5,2597,21.4,244,2
West Midlands police,West-Midlands,11,2021,55683,20.6,6,35925,64.5,14360,25.8,5398,9.7
West Yorkshire Police,West-Yorkshire,11,2021,36976,12.2,7,28303,76.5,7913,21.4,760,2.1
Wiltshire Police,Wiltshire,11,2021,6362,17.5,9,3909,61.4,2088,32.8,365,5.7
Avon and Somerset Constabulary,Avon-and-Somerset,12,2021,22767,6.1,4,20708,91,1897,8.3,162,0.7
Bedfordshire Police,Bedfordshire,12,2021,9127,17.7,4,6530,71.5,1939,21.2,658,7.2
Cambridgeshire Constabulary,Cambridgeshire,12,2021,10949,11.9,8,7944,72.6,2798,25.6,207,1.9
Cheshire Constabulary,Cheshire,12,2021,12398,24.3,8,8442,68.1,2535,20.4,1421,11.5
Cleveland Police,Cleveland,12,2021,8768,8.1,4,7271,82.9,1402,16,95,1.1
Cumbria Constabulary,Cumbria,12,2021,5398,10.2,7,4496,83.3,825,15.3,77,1.4
Derbyshire Constabulary,Derbyshire,12,2021,13441,12.2,9,6963,51.8,6347,47.2,131,1
Devon & Cornwall Police,Devon-and-Cornwall,12,2021,20246,18.1,7,14765,72.9,4220,20.8,1261,6.2
Dorset Police,Dorset,12,2021,9057,21.6,9,5404,59.7,3042,33.6,611,6.7
Durham Constabulary,Durham,12,2021,7652,19.2,10,3470,45.3,3663,47.9,519,6.8
Dyfed-Powys Police,Dyfed-Powys,12,2021,4304,9.4,4,3522,81.8,673,15.6,109,2.5
Essex Police,Essex,12,2021,23850,11.9,6,19082,80,4004,16.8,764,3.2
Gloucestershire Constabulary,Gloucestershire,12,2021,6804,26,10,3242,47.6,2835,41.7,727,10.7
Greater Manchester Police,Greater-Manchester,12,2021,46160,22.6,7,32102,69.5,9159,19.8,4899,10.6
Gwent Police,Gwent,12,2021,6751,15.3,5,5406,80.1,963,14.3,382,5.7
Hampshire Constabulary,Hampshire,12,2021,21110,13.5,8,14358,68,6081,28.8,671,3.2
Hertfordshire Constabulary,Hertfordshire,12,2021,13446,20.4,8,8930,66.4,3464,25.8,1052,7.8
Humberside Police,Humberside,12,2021,11531,15.7,12,201,1.7,11045,95.8,285,2.5
Kent Police,Kent,12,2021,24454,19.5,5,15658,64,6620,27.1,2176,8.9
Lancashire Constabulary,Lancashire,12,2021,22023,14.9,9,12392,56.3,9104,41.3,527,2.4
Leicestershire Police,Leicestershire,12,2021,13498,9.6,4,11668,86.4,1350,10,480,3.6
Lincolnshire Police,Lincolnshire,12,2021,8026,6.4,3,7059,88,881,11,86,1.1
Merseyside Police,Merseyside,12,2021,21731,10.3,4,17631,81.1,3377,15.5,723,3.3
Metropolitan Police Service,Metropolitan,12,2021,157211,22.6,7,103581,65.9,39303,25,14327,9.1
Norfolk Constabulary,Norfolk,12,2021,9105,9.3,5,7465,82,1483,16.3,157,1.7
North Wales Police,North-Wales,12,2021,7574,9.2,4,5821,76.9,1628,21.5,125,1.7
North Yorkshire Police,North-Yorkshire,12,2021,7596,21.8,8,3939,51.9,3016,39.7,641,8.4
Northamptonshire Police,Northamptonshire,12,2021,10510,6.3,4,9360,89.1,1097,10.4,53,0.5
Northumbria Police,Northumbria,12,2021,21764,36.8,9,11305,51.9,6458,29.7,4001,18.4
Nottinghamshire Police,Nottinghamshire,12,2021,15048,7.7,5,13386,89,1573,10.5,89,0.6
