"","Day","Weekday","School","SchoolType","School_Zip","District","DistrictNumber","County","TEA_Description","NCES_Description","MetroStatus","AttendancePercent","AbsentPercent","CovidTotalCountyCases","CovidCountyPercentIncrease","CovidTotalStateCases","CovidStatePercentIncrease","HousholdMediumIncome","Population","White","Black","Native","Asian","Islander","Other","Two","Hispanic","PercentWithoutDegree","PercentFamilyPoverty","UnemploymentRate","Latitude","Longitude","PRCP","TMAX","TMIN"
"1",2020-08-17,"Monday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",100,0,3235,NA,569058,NA,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,95,68
"2",2020-08-18,"Tuesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",100,0,3284,1.51468315301391,577220,1.43430019435629,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,88,65
"3",2020-08-19,"Wednesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",100,0,3312,0.852618757612666,582623,0.93603825231281,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,92,65
"4",2020-08-20,"Thursday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",98.81,1.19,3374,1.8719806763285,587900,0.905731493607353,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,92,68
"5",2020-08-21,"Friday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",98.32,1.68,3444,2.07468879668049,593405,0.936383738731084,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,89,66
"6",2020-08-24,"Monday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",94.51,5.49,3571,3.68757259001162,607621,2.39566569206529,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,93,67
"7",2020-08-25,"Tuesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",96.35,3.65,3650,2.21226547185662,613707,1.00161120171949,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,91,67
"8",2020-08-26,"Wednesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",93.71,6.29,3748,2.68493150684932,619836,0.998685040255376,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,91,67
"9",2020-08-27,"Thursday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",93.56,6.44,3811,1.68089647812166,623647,0.614840054466015,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,93,66
"10",2020-08-28,"Friday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",90.92,9.08,3855,1.15455261086328,628492,0.776881793707007,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,96,68
"11",2020-08-31,"Monday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",92.21,7.79,3972,3.03501945525291,640317,1.88148775163408,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,94,67
"12",2020-09-01,"Tuesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",95.19,4.81,4018,1.15810674723063,645534,0.814752692806842,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,86,67
"13",2020-09-02,"Wednesday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",95.69,4.31,4056,0.945744151319072,649844,0.667664290339465,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,89,65
"14",2020-09-03,"Thursday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",95.36,4.64,4149,2.29289940828403,653321,0.535051489280503,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0.2,84,63
"15",2020-09-04,"Friday","A B Duncan Collegiate Elementary","Elementary","79235","FLOYDADA ISD","077901","Floyd","Rural","Rural-Fringe","Non-Metro",96.86,3.14,4195,1.10870089178114,658789,0.836954575162907,46250,3470,37.64,4.09,0,0.14,0,0,0.4,57.72,26.6,15.1,5.8,33.941748,-101.30072,0,93,61
